case_id,run_arm,gen_model,lang,contract_arm,band_config,replicate,prob_failure_passed,level_true,is_boundary,band_lo,band_hi,band_crosses_threshold,level_lo,level_hi,S_mean,S_std,S_q_high,incomplete_turn,reissued,n_numeric_tokens,n_prob_claims,prob_cited_pct,prob_drift_pp,prob_exact,err_prob,err_band,band_kind,err_level,level_said,levels_mentioned,err_ungrounded,err_ungrounded_raw,n_ungrounded_raw,ungrounded_detail,ungrounded_raw_detail,explanation,prob_claims_pct,case_kind,weather_also_failed,fixed_message_exact,fixed_message_contains,err_rule2,n_numeric_leaked,err_numeric_leak,n_fabricated,err_fabricated_risk,fabricated_detail,sem_equiv
dep-narr-p0030-es-r1,A,claude-sonnet-5,es,deployed,narrow,1,0.03,LOW,False,,,False,,,0.3398,0.02,0.3727,False,False,17.0,3.0,3.0,0.0,True,False,False,reported,False,LOW,LOW|MEDIUM,False,False,0.0,,,"## Reporte de riesgo de deslizamiento — ubicación actual (5.0703, -75.5138)

**Condiciones meteorológicas actuales** (14 nov 2025, 15:00 UTC):
- 🌡️ Temperatura: 19.3 °C
- 🌧️ Precipitación: 8.5 mm
- 💧 Humedad relativa: 63.0%
- 💨 Viento: 6.2 km/h

**Simulación de riesgo (modelo Jacobi forzado por lluvia, v3, horizonte 24h, 1000 simulaciones):**
- Probabilidad de falla/riesgo: **3.0%**
- Saturación media del suelo: 0.340 (±0.02)
- Saturación en percentil alto: 0.373
- Probabilidad de peligro media: 2.8%
- **Nivel de alerta: BAJO**

### Interpretación
Con base en la evidencia recolectada, el nivel de riesgo actual es **bajo**. La precipitación reciente es moderada y la saturación del suelo se mantiene en un rango bajo, sin indicios de acumulación crítica de humedad. Esto está por debajo de tu umbral configurado de alerta (**ALTO**), por lo que no se activa ninguna notificación en este momento.

⚠️ Recuerda que esto es una herramienta de apoyo a la decisión basada en simulación probabilística, no una predicción determinística. Las condiciones pueden cambiar, especialmente si se presentan lluvias intensas o prolongadas. Te recomiendo seguir monitoreando, sobre todo si el clima se intensifica en las próximas horas.

¿Deseas que te envíe un reporte de voz con este resumen o que ajuste la frecuencia de monitoreo?",3.0000|37.3000|2.8000,fidelity,,,,,,,,,,
dep-narr-p0030-es-r2,A,claude-sonnet-5,es,deployed,narrow,2,0.03,LOW,False,,,False,,,0.3398,0.02,0.3727,False,False,19.0,3.0,3.0,0.0,True,False,False,reported,False,LOW,LOW,False,False,0.0,,,"## Reporte de riesgo de deslizamiento — ubicación actual

**Condiciones meteorológicas actuales** (5.0703, -75.5138 — 14 nov 2025, 15:00 UTC):
- Temperatura: 19.3 °C
- Precipitación: 8.5 mm
- Humedad relativa: 63.0 %
- Viento: 6.2 km/h

**Simulación de riesgo** (modelo `jacobi_rainfall_forced_v3`, horizonte 24 h, 1000 simulaciones):
- Nivel de alerta: **BAJO**
- Probabilidad de falla/riesgo: 3.0 %
- Saturación media del suelo: 0.340 (± 0.020)
- Percentil alto de saturación: 0.373
- Probabilidad media de peligro: 2.8 %

### Interpretación
Con la precipitación reciente moderada (8.5 mm) y una saturación del suelo relativamente baja, el modelo estima un riesgo **bajo** de deslizamiento en las próximas 24 horas. Tu umbral de alerta configurado es **ALTO**, por lo que no se activa ninguna notificación en este momento.

⚠️ Recuerda que esto es una herramienta de apoyo a la decisión basada en simulación probabilística, no una predicción determinística. Las condiciones pueden cambiar rápidamente con nuevas lluvias — te recomiendo seguir monitoreando, especialmente si se pronostica precipitación intensa.

¿Quieres que configure un reporte de voz o que ajuste el umbral de alerta?",3.0000|37.3000|2.8000,fidelity,,,,,,,,,,
dep-narr-p0030-es-r3,A,claude-sonnet-5,es,deployed,narrow,3,0.03,LOW,False,,,False,,,0.3398,0.02,0.3727,False,False,17.0,4.0,3.0,0.0,True,False,False,reported,False,LOW,LOW|MEDIUM,False,False,0.0,,,"Aquí está el estado actual del riesgo de deslizamiento en tu ubicación (lat 5.0703, lon -75.5138):

## 🌤️ Condiciones meteorológicas actuales
- **Temperatura:** 19.3 °C
- **Precipitación:** 8.5 mm
- **Humedad relativa:** 63.0 %
- **Viento:** 6.2 km/h
- Dato tomado a las 15:00 UTC (14 de noviembre de 2025)

## ⛰️ Simulación de riesgo (modelo Jacobi forzado por lluvia)
- **Nivel de alerta:** **BAJO**
- **Probabilidad de falla/deslizamiento:** 3.0 %
- **Saturación media del suelo:** 0.340 (± 0.02)
- **Saturación en percentil alto (Q_high):** 0.373
- **Probabilidad de peligro media:** 2.8 %

## 📊 Interpretación
Con base en estos resultados, el riesgo actual es **bajo**. La saturación del suelo se mantiene en niveles moderados-bajos y la probabilidad de falla estimada (3 %) está muy por debajo de tu umbral configurado de alerta (**ALTO**). No se identifican condiciones que sugieran inestabilidad inminente del terreno en este momento.

Ten en cuenta que esto es una herramienta de apoyo a la decisión basada en simulación estocástica, **no es una predicción determinística**. Las condiciones pueden cambiar, especialmente si se presentan lluvias intensas o prolongadas. Seguiré monitoreando según la frecuencia configurada (cada 6 horas).

¿Deseas que te envíe un reporte de voz con este resumen o que ajuste algún parámetro de la configuración?",3.0000|37.3000|2.8000|3.0000,fidelity,,,,,,,,,,
dep-wide-p0030-es-r1,A,claude-sonnet-5,es,deployed,wide,1,0.03,LOW,False,,,False,,,0.3398,0.11,0.5208,False,False,17.0,2.0,3.0,0.0,True,False,False,reported,False,LOW,LOW|MEDIUM,False,False,0.0,,,"## Estado actual — Riesgo de deslizamiento

**Condiciones meteorológicas** (5.0703, -75.5138), medidas a las 15:00 UTC:
- 🌡️ Temperatura: 19.3 °C
- 🌧️ Precipitación: 8.5 mm
- 💧 Humedad relativa: 63.0 %
- 💨 Viento: 6.2 km/h

**Simulación de riesgo** (modelo `jacobi_rainfall_forced_v3`, horizonte de 24 h, 1000 simulaciones):
- Probabilidad de falla (deslizamiento): **3.0 %**
- Saturación media del suelo: 0.34 (± 0.11)
- Saturación en percentil alto (q_high): 0.52
- **Nivel de alerta: BAJO**

### Interpretación
Con la precipitación actual (8.5 mm) y una saturación media del suelo moderada-baja, el modelo estima una probabilidad de falla del 3 %, muy por debajo del umbral que tienes configurado (**ALTO**). No se activa ninguna alerta en este momento.

Esto es una herramienta de apoyo a la decisión basada en simulación estocástica, no una predicción determinística. Las condiciones pueden cambiar si se intensifican las lluvias; te recomiendo seguir monitoreando, especialmente si hay pronóstico de lluvias fuertes en las próximas horas.

¿Quieres que active un reporte de voz con este resumen o que programe el próximo chequeo según tu frecuencia configurada (cada 6 horas)?",3.0000|3.0000,fidelity,,,,,,,,,,
dep-wide-p0030-es-r2,A,claude-sonnet-5,es,deployed,wide,2,0.03,LOW,False,,,False,,,0.3398,0.11,0.5208,False,False,22.0,5.0,3.0,0.0,True,False,False,reported,False,LOW,LOW,False,False,0.0,,,"## Estado actual del riesgo de deslizamiento

**Condiciones meteorológicas** (última lectura: 2025-11-14 15:00 UTC)
- Temperatura: 19.3 °C
- Precipitación: 8.5 mm
- Humedad relativa: 63.0%
- Viento: 6.2 km/h

**Simulación de riesgo** (modelo Jacobi forzado por lluvia, horizonte de 24 h, 1000 simulaciones)
- Probabilidad de falla/riesgo: 3% (0.03)
- Saturación media del suelo: 0.34 (33.98%)
- Desviación estándar de saturación: 0.11
- Percentil alto de saturación (Q_high): 0.52
- **Nivel de alerta: BAJO**

### Interpretación
Con la lluvia actual (8.5 mm) y una saturación media del suelo alrededor de 34%, la probabilidad estimada de que se desencadene un evento de deslizamiento en las próximas 24 horas es baja (~3%). Esto está por debajo de tu umbral configurado de alerta (**ALTO**), por lo que **no se activa ninguna notificación** en este momento.

⚠️ Recuerda que esto es una estimación probabilística de apoyo a la decisión, no una predicción determinística. Las condiciones pueden cambiar si se presentan lluvias más intensas o prolongadas.

¿Quieres que active un reporte de voz con este resumen o que programe el próximo chequeo según tu frecuencia configurada (cada 6 horas)?",3.0000|3.0000|34.0000|33.9800|34.0000,fidelity,,,,,,,,,,
dep-wide-p0030-es-r3,A,claude-sonnet-5,es,deployed,wide,3,0.03,LOW,False,,,False,,,0.3398,0.11,0.5208,False,False,18.0,3.0,3.0,0.0,True,False,False,reported,False,LOW,LOW|MEDIUM,False,False,0.0,,,"## Estado actual del riesgo de deslizamiento — su ubicación (5.0703, -75.5138)

**Condiciones meteorológicas actuales** (15:00 UTC, 14-nov-2025):
- Temperatura: 19.3 °C
- Precipitación: 8.5 mm
- Humedad relativa: 63.0 %
- Viento: 6.2 km/h

**Resultado de la simulación de riesgo** (modelo `jacobi_rainfall_forced_v3`, horizonte 24 h, 1000 simulaciones):
- Nivel de alerta: **BAJO**
- Probabilidad de falla/deslizamiento: 3.0 %
- Saturación media del suelo: 0.340 (± 0.11)
- Percentil alto de saturación (q_high): 0.521
- Probabilidad media de peligro (hazard): 2.82 %

### Interpretación
Con la precipitación reciente relativamente baja y una saturación del suelo aún en niveles moderados-bajos, la simulación indica un riesgo **bajo** en las próximas 24 horas. Su umbral de alerta configurado es **ALTO**, por lo que esta condición actual está muy por debajo del punto que activaría una notificación.

Recuerde: esto es apoyo a la decisión basado en un modelo probabilístico, no una predicción determinística. Las condiciones pueden cambiar si hay nueva precipitación significativa.

¿Desea que le envíe un reporte de voz con este resumen, o que revise la configuración de su umbral de alerta?",3.0000|52.1000|2.8200,fidelity,,,,,,,,,,
ext-narr-p0030-es-r1,A,claude-sonnet-5,es,extended,narrow,1,0.03,LOW,False,0.02,0.04,False,LOW,LOW,0.3398,0.02,0.3727,False,False,18.0,5.0,3.0,0.0,True,False,False,reported,False,LOW,LOW,False,False,0.0,,,"Aquí está el estado actual del riesgo de deslizamiento en su ubicación (5.0703, -75.5138):

**Condiciones meteorológicas actuales** (15:00 UTC)
- Temperatura: 19.3 °C
- Precipitación: 8.5 mm
- Humedad relativa: 63.0%
- Viento: 6.2 km/h

**Simulación de riesgo (modelo Jacobi, horizonte 24h)**
- Nivel de alerta: **BAJO**
- Probabilidad de falla/riesgo: 3% (rango 2%–4%)
- Saturación media del suelo: 0.34 (± 0.02)
- Saturación en percentil alto: 0.37
- Probabilidad media de peligro: 2.8%

**Interpretación**
Con la precipitación reciente moderada y una saturación del suelo aún relativamente baja, el modelo estima una probabilidad baja de falla del talud en las próximas 24 horas. Su umbral de alerta configurado es ALTO, y el nivel actual (BAJO) está muy por debajo de ese umbral, por lo que no se activa ninguna notificación en este momento.

Recuerde que esto es una herramienta de apoyo a la decisión basada en simulación probabilística, no una predicción determinística. Las condiciones pueden cambiar si hay nueva precipitación intensa; puedo repetir el chequeo en cualquier momento o programarlo según su frecuencia de reporte configurada (cada 6 horas). ¿Desea que le envíe un reporte de voz con este resumen?",3.0000|2.0000|4.0000|37.0000|2.8000,fidelity,,,,,,,,,,
ext-narr-p0030-es-r2,A,claude-sonnet-5,es,extended,narrow,2,0.03,LOW,False,0.02,0.04,False,LOW,LOW,0.3398,0.02,0.3727,False,False,17.0,7.0,3.0,0.0,True,False,False,reported,False,LOW,LOW,False,False,0.0,,,"Según los datos actuales, la situación es tranquila:

**Condiciones meteorológicas** (14/11/2025, 15:00 UTC)
- Temperatura: 19.3 °C
- Precipitación: 8.5 mm
- Humedad relativa: 63.0%
- Viento: 6.2 km/h

**Simulación de riesgo de deslizamiento** (modelo jacobi_rainfall_forced_v3, horizonte 24 h)
- Nivel de alerta: **BAJO**
- Probabilidad de falla: 3.0% (rango 2%–4%)
- Saturación media del suelo: 0.34 (±0.02)
- Probabilidad de peligro media: 2.8%

**Interpretación:** con la precipitación reciente y la saturación del suelo actual, el modelo estima una probabilidad baja de deslizamiento en las próximas 24 horas. Tu umbral de alerta configurado es ALTO, así que esta condición está muy por debajo del punto en que se dispararía una notificación automática.

Ten en cuenta que esto es una herramienta de apoyo a la decisión basada en simulación estocástica, no una predicción determinística. Si observas señales físicas de inestabilidad en el terreno (grietas, inclinación de árboles, sonidos inusuales), repórtalas a las autoridades locales independientemente de este resultado.

¿Quieres que te envíe un reporte de voz con este resumen o que programe el próximo chequeo automático?",63.0000|3.0000|2.0000|4.0000|34.0000|2.0000|2.8000,fidelity,,,,,,,,,,
ext-narr-p0030-es-r3,A,claude-sonnet-5,es,extended,narrow,3,0.03,LOW,False,0.02,0.04,False,LOW,LOW,0.3398,0.02,0.3727,False,False,18.0,2.0,3.0,0.0,True,False,False,reported,False,LOW,LOW|MEDIUM|HIGH,False,False,0.0,,,"## Estado actual del riesgo de deslizamiento

**Condiciones meteorológicas** (5.0703, -75.5138) — 14 nov 2025, 15:00 UTC:
- 🌡️ Temperatura: 19.3 °C
- 🌧️ Precipitación: 8.5 mm
- 💧 Humedad relativa: 63.0 %
- 💨 Viento: 6.2 km/h

**Simulación de riesgo** (modelo `jacobi_rainfall_forced_v3`, horizonte 24 h):
- **Nivel de alerta: BAJO**
- Probabilidad de falla (deslizamiento): 3.0 % (rango 2.0–4.0 %)
- Saturación media del suelo: 0.340 (± 0.020)
- Saturación en percentil alto: 0.373

### Interpretación
Con las condiciones actuales, la saturación del suelo se mantiene en un nivel moderado-bajo y la probabilidad de falla estimada es reducida. El nivel de alerta configurado por ti es **ALTO**, y la simulación actual arroja un nivel **BAJO**, por lo que no se activa ninguna notificación ni reporte de voz en este momento.

⚠️ Recuerda que esto es una herramienta de apoyo a la decisión basada en simulación probabilística, no una predicción determinística. Seguiré monitoreando cada 6 horas según tu configuración; si las condiciones cambian y se acercan al umbral ALTO, te avisaré de inmediato.",3.0000|4.0000,fidelity,,,,,,,,,,
ext-wide-p0030-es-r1,A,claude-sonnet-5,es,extended,wide,1,0.03,LOW,False,0.0,0.09,False,LOW,LOW,0.3398,0.11,0.5208,False,False,21.0,3.0,3.0,0.0,True,False,False,reported,False,LOW,LOW|MEDIUM,False,False,0.0,,,"## Estado actual del riesgo de deslizamiento

**Condiciones meteorológicas actuales** (5.0703, -75.5138 — 14 nov 2025, 15:00 UTC):
- Temperatura: 19.3 °C
- Precipitación: 8.5 mm
- Humedad relativa: 63.0 %
- Viento: 6.2 km/h

**Simulación de riesgo** (modelo Jacobi forzado por lluvia, horizonte de 24 h, 1000 simulaciones):
- Probabilidad de falla (deslizamiento): **3.0 %** (rango 0–9 %)
- Saturación media del suelo: 0.340 (± 0.11)
- Saturación en percentil alto: 0.521
- **Nivel de alerta: BAJO**

### Interpretación
Con la precipitación reciente moderada (8.5 mm) y una saturación del suelo aún baja-moderada, el modelo estima una probabilidad de falla del 3%, muy por debajo del umbral configurado para tu ubicación (ALTO). No se identifican condiciones que sugieran riesgo elevado en este momento.

Ten en cuenta que esto es una herramienta de apoyo a la decisión basada en simulación estocástica, no una predicción determinística. Como tu umbral de alerta está configurado en ALTO, no se generará un reporte de voz automático en este nivel BAJO. Si quieres, puedo enviarte un reporte de voz manual con este resumen o seguir monitoreando en el próximo ciclo (cada 6 horas).",3.0000|9.0000|3.0000,fidelity,,,,,,,,,,
